counts_code,scenario_type,total_tasks,n1,n2,n3,n4,p1,p2,p3,p4,r,lambda,lambda_label,eta_T_percent,eta_E_percent,base_score_without_cost,activation_cost_factor_phi,max_affordable_activation_cost_K,zero_cost_recommendation,threshold_interpretation
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,0.5,0_5,38.19,5.37,35.5,1.0594,33.52,recommend_3arm,3-arm is recommended when actual K is smaller than this threshold.
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,1,1,38.19,5.37,32.82,1.0594,30.98,recommend_3arm,3-arm is recommended when actual K is smaller than this threshold.
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,2,2,38.19,5.37,27.45,1.0594,25.91,recommend_3arm,3-arm is recommended when actual K is smaller than this threshold.
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,3,3,38.19,5.37,22.08,1.0594,20.84,recommend_3arm,3-arm is recommended when actual K is smaller than this threshold.
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,4,4,38.19,5.37,16.71,1.0594,15.77,recommend_3arm,3-arm is recommended when actual K is smaller than this threshold.
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,5,5,38.19,5.37,11.34,1.0594,10.7,recommend_3arm,3-arm is recommended when actual K is smaller than this threshold.
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,6,6,38.19,5.37,5.97,1.0594,5.64,recommend_3arm,3-arm is recommended when actual K is smaller than this threshold.
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,8,8,38.19,5.37,-4.77,1.0594,0.0,recommend_2arm,3-arm is recommended when actual K is smaller than this threshold.
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,10,10,38.19,5.37,-15.51,1.0594,0.0,recommend_2arm,3-arm is recommended when actual K is smaller than this threshold.
1111,balanced,4,1,1,1,1,0.25,0.25,0.25,0.25,0.5,15,15,38.19,5.37,-42.36,1.0594,0.0,recommend_2arm,3-arm is recommended when actual K is smaller than this threshold.
1112,type4_dominant,5,1,1,1,2,0.2,0.2,0.2,0.4,0.625,0.5,0_5,29.54,4.15,27.46,1.1121,24.7,recommend_3arm,3-arm is recommended when actual K is smaller than this threshold.
1112,type4_dominant,5,1,1,1,2,0.2,0.2,0.2,0.4,0.625,1,1,29.54,4.15,25.39,1.1121,22.83,recommend_3arm,3-arm is recommended when actual K is smaller than this threshold.
1112,type4_dominant,5,1,1,1,2,0.2,0.2,0.2,0.4,0.625,2,2,29.54,4.15,21.24,1.1121,19.1,recommend_3arm,3-arm is recommended when actual K is smaller than this threshold.
1112,type4_dominant,5,1,1,1,2,0.2,0.2,0.2,0.4,0.625,3,3,29.54,4.15,17.09,1.1121,15.37,recommend_3arm,3-arm is recommended when actual K is smaller than this threshold.
1112,type4_dominant,5,1,1,1,2,0.2,0.2,0.2,0.4,0.625,4,4,29.54,4.15,12.94,1.1121,11.64,recommend_3arm,3-arm is recommended when actual K is smaller than this threshold.
1112,type4_dominant,5,1,1,1,2,0.2,0.2,0.2,0.4,0.625,5,5,29.54,4.15,8.79,1.1121,7.9,recommend_3arm,3-arm is recommended when actual K is smaller than this threshold.
1112,type4_dominant,5,1,1,1,2,0.2,0.2,0.2,0.4,0.625,6,6,29.54,4.15,4.64,1.1121,4.17,recommend_3arm,3-arm is recommended when actual K is smaller than this threshold.
1112,type4_dominant,5,1,1,1,2,0.2,0.2,0.2,0.4,0.625,8,8,29.54,4.15,-3.66,1.1121,0.0,recommend_2arm,3-arm is recommended when actual K is smaller than this threshold.
1112,type4_dominant,5,1,1,1,2,0.2,0.2,0.2,0.4,0.625,10,10,29.54,4.15,-11.96,1.1121,0.0,recommend_2arm,3-arm is recommended when actual K is smaller than this threshold.
1112,type4_dominant,5,1,1,1,2,0.2,0.2,0.2,0.4,0.625,15,15,29.54,4.15,-32.71,1.1121,0.0,recommend_2arm,3-arm is recommended when actual K is smaller than this threshold.
1121,dual_arm_dominant,5,1,1,2,1,0.2,0.2,0.4,0.2,0.625,0.5,0_5,29.14,4.46,26.91,1.0941,24.59,recommend_3arm,3-arm is recommended when actual K is smaller than this threshold.
1121,dual_arm_dominant,5,1,1,2,1,0.2,0.2,0.4,0.2,0.625,1,1,29.14,4.46,24.68,1.0941,22.56,recommend_3arm,3-arm is recommended when actual K is smaller than this threshold.
1121,dual_arm_dominant,5,1,1,2,1,0.2,0.2,0.4,0.2,0.625,2,2,29.14,4.46,20.22,1.0941,18.48,recommend_3arm,3-arm is recommended when actual K is smaller than this threshold.
1121,dual_arm_dominant,5,1,1,2,1,0.2,0.2,0.4,0.2,0.625,3,3,29.14,4.46,15.76,1.0941,14.4,recommend_3arm,3-arm is recommended when actual K is smaller than this threshold.
1121,dual_arm_dominant,5,1,1,2,1,0.2,0.2,0.4,0.2,0.625,4,4,29.14,4.46,11.3,1.0941,10.33,recommend_3arm,3-arm is recommended when actual K is smaller than this threshold.
1121,dual_arm_dominant,5,1,1,2,1,0.2,0.2,0.4,0.2,0.625,5,5,29.14,4.46,6.84,1.0941,6.25,recommend_3arm,3-arm is recommended when actual K is smaller than this threshold.
