lambda,lambda_label,gamma,case_count,recommend_3arm_count,recommend_2arm_count,recommend_3arm_ratio_percent,mean_of_mean_score,mean_std_score,mean_robust_score,min_robust_score,max_robust_score,note
0.5,0_5,0,16,16,0,100.0,29.01,3.66,29.01,22.06,35.73,"As gamma increases, the decision becomes more conservative."
0.5,0_5,0.5,16,16,0,100.0,29.01,3.66,27.18,19.26,33.28,"As gamma increases, the decision becomes more conservative."
0.5,0_5,1,16,16,0,100.0,29.01,3.66,25.36,16.46,30.83,"As gamma increases, the decision becomes more conservative."
0.5,0_5,1.5,16,16,0,100.0,29.01,3.66,23.53,13.65,29.2,"As gamma increases, the decision becomes more conservative."
0.5,0_5,2,16,16,0,100.0,29.01,3.66,21.7,10.85,29.04,"As gamma increases, the decision becomes more conservative."
1,1,0,16,16,0,100.0,26.78,3.76,26.78,20.2,33.81,"As gamma increases, the decision becomes more conservative."
1,1,0.5,16,16,0,100.0,26.78,3.76,24.91,17.4,31.29,"As gamma increases, the decision becomes more conservative."
1,1,1,16,16,0,100.0,26.78,3.76,23.03,14.6,28.78,"As gamma increases, the decision becomes more conservative."
1,1,1.5,16,16,0,100.0,26.78,3.76,21.15,11.8,27.04,"As gamma increases, the decision becomes more conservative."
1,1,2,16,16,0,100.0,26.78,3.76,19.27,8.99,26.84,"As gamma increases, the decision becomes more conservative."
2,2,0,16,16,0,100.0,22.33,3.98,22.33,16.5,29.95,"As gamma increases, the decision becomes more conservative."
2,2,0.5,16,16,0,100.0,22.33,3.98,20.34,13.69,27.32,"As gamma increases, the decision becomes more conservative."
2,2,1,16,16,0,100.0,22.33,3.98,18.35,10.89,24.68,"As gamma increases, the decision becomes more conservative."
2,2,1.5,16,16,0,100.0,22.33,3.98,16.36,8.08,22.45,"As gamma increases, the decision becomes more conservative."
2,2,2,16,16,0,100.0,22.33,3.98,14.37,5.27,22.17,"As gamma increases, the decision becomes more conservative."
3,3,0,16,16,0,100.0,17.87,4.21,17.87,12.68,26.09,"As gamma increases, the decision becomes more conservative."
3,3,0.5,16,16,0,100.0,17.87,4.21,15.77,9.98,23.34,"As gamma increases, the decision becomes more conservative."
3,3,1,16,16,0,100.0,17.87,4.21,13.66,7.17,20.59,"As gamma increases, the decision becomes more conservative."
3,3,1.5,16,16,0,100.0,17.87,4.21,11.55,4.36,17.84,"As gamma increases, the decision becomes more conservative."
3,3,2,16,16,0,100.0,17.87,4.21,9.45,1.12,17.26,"As gamma increases, the decision becomes more conservative."
4,4,0,16,16,0,100.0,13.41,4.46,13.41,7.73,22.23,"As gamma increases, the decision becomes more conservative."
4,4,0.5,16,16,0,100.0,13.41,4.46,11.19,5.89,19.36,"As gamma increases, the decision becomes more conservative."
4,4,1,16,16,0,100.0,13.41,4.46,8.96,2.38,16.49,"As gamma increases, the decision becomes more conservative."
4,4,1.5,16,14,2,87.5,13.41,4.46,6.73,-1.13,13.62,"As gamma increases, the decision becomes more conservative."
4,4,2,16,11,5,68.75,13.41,4.46,4.5,-4.64,12.28,"As gamma increases, the decision becomes more conservative."
5,5,0,16,16,0,100.0,8.96,4.71,8.96,2.79,18.37,"As gamma increases, the decision becomes more conservative."
5,5,0.5,16,15,1,93.75,8.96,4.71,6.6,-0.47,15.38,"As gamma increases, the decision becomes more conservative."
5,5,1,16,13,3,81.25,8.96,4.71,4.25,-4.41,12.39,"As gamma increases, the decision becomes more conservative."
5,5,1.5,16,9,7,56.25,8.96,4.71,1.89,-8.34,9.4,"As gamma increases, the decision becomes more conservative."
5,5,2,16,9,7,56.25,8.96,4.71,-0.46,-12.28,7.27,"As gamma increases, the decision becomes more conservative."
6,6,0,16,14,2,87.5,4.51,4.97,4.51,-2.46,14.52,"As gamma increases, the decision becomes more conservative."
6,6,0.5,16,11,5,68.75,4.51,4.97,2.02,-6.83,11.41,"As gamma increases, the decision becomes more conservative."
6,6,1,16,7,9,43.75,4.51,4.97,-0.46,-11.2,8.3,"As gamma increases, the decision becomes more conservative."
6,6,1.5,16,7,9,43.75,4.51,4.97,-2.95,-15.57,5.18,"As gamma increases, the decision becomes more conservative."
6,6,2,16,5,11,31.25,4.51,4.97,-5.43,-19.94,2.51,"As gamma increases, the decision becomes more conservative."
8,8,0,16,3,13,18.75,-4.41,5.49,-4.41,-14.32,6.8,"As gamma increases, the decision becomes more conservative."
8,8,0.5,16,2,14,12.5,-4.41,5.49,-7.15,-19.56,3.45,"As gamma increases, the decision becomes more conservative."
8,8,1,16,1,15,6.25,-4.41,5.49,-9.9,-24.81,0.1,"As gamma increases, the decision becomes more conservative."
8,8,1.5,16,0,16,0.0,-4.41,5.49,-12.65,-30.05,-3.25,"As gamma increases, the decision becomes more conservative."
8,8,2,16,0,16,0.0,-4.41,5.49,-15.39,-35.3,-6.12,"As gamma increases, the decision becomes more conservative."
10,10,0,16,0,16,0.0,-13.32,6.03,-13.32,-26.18,-0.91,"As gamma increases, the decision becomes more conservative."
10,10,0.5,16,0,16,0.0,-13.32,6.03,-16.33,-32.31,-4.5,"As gamma increases, the decision becomes more conservative."
10,10,1,16,0,16,0.0,-13.32,6.03,-19.34,-38.44,-8.09,"As gamma increases, the decision becomes more conservative."
10,10,1.5,16,0,16,0.0,-13.32,6.03,-22.36,-44.57,-11.68,"As gamma increases, the decision becomes more conservative."
10,10,2,16,0,16,0.0,-13.32,6.03,-25.37,-50.7,-14.72,"As gamma increases, the decision becomes more conservative."
15,15,0,16,0,16,0.0,-35.6,7.39,-35.6,-55.82,-20.2,"As gamma increases, the decision becomes more conservative."
15,15,0.5,16,0,16,0.0,-35.6,7.39,-39.29,-64.19,-24.39,"As gamma increases, the decision becomes more conservative."
15,15,1,16,0,16,0.0,-35.6,7.39,-42.99,-72.55,-28.09,"As gamma increases, the decision becomes more conservative."
15,15,1.5,16,0,16,0.0,-35.6,7.39,-46.69,-80.92,-31.53,"As gamma increases, the decision becomes more conservative."
15,15,2,16,0,16,0.0,-35.6,7.39,-50.38,-89.29,-34.83,"As gamma increases, the decision becomes more conservative."
