counts_code,scenario_type,total_tasks,n1,n2,n3,n4,gamma,recommend_3arm_lambda_count,max_lambda_still_recommend_3arm,min_robust_score_over_all_lambda,max_robust_score_over_all_lambda,robust_score_lambda_2,robust_score_lambda_5,robust_score_lambda_8,structure_note
1111,balanced,4,1,1,1,1,0,7,6,-42.41,35.5,27.44,11.32,-4.8,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
1112,type4_dominant,5,1,1,1,2,0,7,6,-32.74,27.47,21.24,8.78,-3.68,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
1121,dual_arm_dominant,5,1,1,2,1,0,7,6,-37.82,26.91,20.21,6.82,-6.57,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
1122,dual_arm_dominant,6,1,1,2,2,0,7,6,-31.67,22.06,16.5,5.38,-5.73,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
1211,single_arm_dominant,5,1,2,1,1,0,7,6,-37.96,32.83,25.51,10.86,-3.78,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
1212,mixed_balanced,6,1,2,1,2,0,8,8,-20.2,35.73,29.95,18.37,6.8,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
1221,mixed_balanced,6,1,2,2,1,0,8,8,-29.38,31.89,25.55,12.87,0.2,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
1222,dual_arm_dominant,7,1,2,2,2,0,8,8,-21.23,28.77,23.6,13.25,2.91,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2111,single_arm_dominant,5,2,1,1,1,0,6,5,-55.82,30.14,21.25,3.47,-14.32,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2112,mixed_balanced,6,2,1,1,2,0,7,6,-37.09,30.06,23.11,9.22,-4.67,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2121,mixed_balanced,6,2,1,2,1,0,7,6,-37.27,29.87,22.93,9.03,-4.86,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2122,dual_arm_dominant,7,2,1,2,2,0,7,6,-35.75,23.44,17.32,5.07,-7.17,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2211,single_arm_dominant,6,2,2,1,1,0,6,5,-46.61,25.03,17.62,2.79,-12.03,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2212,single_arm_dominant,7,2,2,1,2,0,7,6,-33.37,29.82,23.28,10.21,-2.87,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2221,single_arm_dominant,7,2,2,2,1,0,7,6,-38.78,29.65,22.57,8.41,-5.74,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
2222,balanced,8,2,2,2,2,0,7,6,-31.43,25.02,19.18,7.5,-4.18,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
1111,balanced,4,1,1,1,1,0.5,7,6,-47.04,30.43,22.42,6.41,-9.62,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
1112,type4_dominant,5,1,1,1,2,0.5,7,6,-36.91,23.82,17.55,4.99,-7.57,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
1121,dual_arm_dominant,5,1,1,2,1,0.5,6,5,-43.57,23.68,16.73,2.82,-11.09,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
1122,dual_arm_dominant,6,1,1,2,2,0.5,6,5,-34.54,19.26,13.69,2.57,-8.56,Larger max_lambda_still_recommend_3arm means more robust 3-arm value.
